"Charities watchdog suspends Crisis Centre Singapore from conducting fund-raising appeals","articles-txt/articles01txt","15 Aug 2019 02:58PM","charity,Commissioner of Charities,Crisis Centre Singapore,Singapore"
"Company charged in Singapore for shipping more than S$600,000 worth of alcohol to North Korea","articles-txt/articles02txt","15 Aug 2019 12:26PM","court,crime,North Korea,Singapore"
"PM Lee to touch on Singapore's response to climate change during National Day Rally","articles-txt/articles03txt","15 Aug 2019 11:50AM","Lee Hsien Loong,climate change,NDR2019,Singapore"
"Man jailed for stealing tap from Woodlands police station","articles-txt/articles04txt","15 Aug 2019 11:09AM","court,crime,Singapore"
"Women chefs taking a stand against discrimination in Singapore kitchens","articles-txt/articles05txt","15 Aug 2019 06:30AM","Dining,Kitchen Stories,Lifestyle"
"Hyflux is ‘leaking value’ and has to ‘act without delay’ to pick an investor: UAE suitor Utico","articles-txt/articles06txt","14 Aug 2019 10:32PM","Hyflux,Business"
"Jewellery shop in Ang Mo Kio robbed of items worth S$100,000 ","articles-txt/articles07txt","14 Aug 2019 07:47PM","Singapore Police Force,crime,Ang Mo Kio,Singapore"
"More support to help NSFs transit to work or studies after National Service","articles-txt/articles08txt","14 Aug 2019 07:09PM","NSFs,MINDEF,SAF. career fair,Singapore"
"Missing Singaporean kayakers: Woman's body found off Terengganu","articles-txt/articles09txt","14 Aug 2019 04:52PM","missing,Singapore,Malaysia,kayak,Singapore"
"Man jailed for sexually assaulting friend's two young daughters over 4 years","articles-txt/articles010txt","14 Aug 2019 04:22PM","court,crime,sexual assault,Singapore"
"MAS issues prohibition orders to 3 traders jailed for insider trading","articles-txt/articles11txt","14 Aug 2019 04:06PM","insider trading,MAS,Monetary Authority of Singapore,crime,Singapore"
"3 men get jail, cane for raping and assaulting unconscious teenager at birthday party","articles-txt/articles12txt","14 Aug 2019 03:54PM","court,crime,sexual assault,rape,Singapore"
"Singapore well-positioned to meet global demand for semiconductors: DPM Heng","articles-txt/articles13txt","14 Aug 2019 03:00PM","Heng Swee Keat,manufacturing,Business"
"NETS E-Pay ad featuring Dennis Chew did not breach Internet Code of Practice: IMDA","articles-txt/articles14txt","14 Aug 2019 02:19PM","Info-Communications Media Development Authority,Singapore"
"Integration, innovation needed for companies and countries to continue growing, says Chan Chun Sing","articles-txt/articles15txt","14 Aug 2019 12:54PM","Chan Chun Sing,IBM,Business"
