"Thailand set to deliver first batch of medical marijuana","Asia-articles-txt/articles1txt","01 Aug 2019 08:48PM","Withoon Danwiboon,GPO,cannabis,medical health,Thailand,World"
"Taiwan president slams Beijing's solo tourist ban","Asia-articles-txt/articles2txt","01 Aug 2019 08:25PM","Beijing,Tsai Ing-wen,China,Taiwan,travel,mainland,Asia"
"Hong Kong financial workers stage flash protest","Asia-articles-txt/articles3txt","01 Aug 2019 08:24PM","Hong Kong,Hong Kong protests,Asia"
"Drug lab raids in Myanmar's meth capital met with artillery fire ","Asia-articles-txt/articles4txt","01 Aug 2019 08:14PM","Myanmar,crime,Yangon,Asia"
"India's top court moves politician's rape trial over intimidation fears","Asia-articles-txt/articles5txt","01 Aug 2019 07:46PM","New Delhi,Supreme Court,news and politics,intimidation,India,Uttar Pradesh,Asia"
"44 injured at Chinese water park after wave machine malfunctions","Asia-articles-txt/articles6txt","01 Aug 2019 07:02PM","China,wave pool,Asia"
"US secretary of state criticises China's dams on Mekong River","Asia-articles-txt/articles7txt","01 Aug 2019 06:58PM","Mike Pompeo,China,Mekong River,United States,Bangkok,Thailand,Asia"
"China confirms new African swine fever case in Hubei province","Asia-articles-txt/articles8txt","01 Aug 2019 06:45PM","swine,Hubei,China,medical health,Asia"
"Coffee baron's death fuels India Inc anger over government crackdown on wrongdoing","Asia-articles-txt/articles9txt","01 Aug 2019 06:45PM","Siddhartha,news and politics,tax evasion,India,Business"
"Malaysian PM Mahathir denies highways takeover plan on hold","Asia-articles-txt/articles10txt","01 Aug 2019 06:25PM","Malaysia,Mahathir,highways takeover,toll charges,Asia"
"Commentary: Who’s manipulating who in this China-US currency war? ","Asia-articles-txt/articles11txt","09 Aug 2019 06:21AM","China,United States,US China trade war,currency,yuan,Commentary"
"China tells US diplomats in Hong Kong to stop interfering in city's affairs","Asia-articles-txt/articles12txt","09 Aug 2019 05:48AM","Hong Kong protests,Hong Kong,US diplomats,pro-democracy,Joshua Wong,Julie Eadeh,Asia"
"Puerto Rico's new governor says she intends to remain in office","Asia-articles-txt/articles13txt","09 Aug 2019 03:23AM","Wanda Vazquez,Ricardo Rossello,Puerto Rico,World"
"Sri Lankan presidential hopeful Gotabaya Rajapaksa renounces US citizenship","Asia-articles-txt/articles14txt","08 Aug 2019 11:55PM","United States,Sri Lanka,news and politics,Asia"
"Hong Kong airport tightens access to check-in area ahead of protests","Asia-articles-txt/articles15txt","08 Aug 2019 11:21PM","Hong Kong protest,Hong Kong,Asia"
"Serbia grants citizenship to Thailand's fugitive ex-PM Yingluck Shinawatra","Asia-articles-txt/articles16txt","08 Aug 2019 09:59PM","news and politics,Serbia,Thailand,World"
"China decries US ban on Chinese firms as 'abuse of state power'","Asia-articles-txt/articles17txt","08 Aug 2019 09:57PM","China,United States,tradew war,Huawei,Asia"
"Trade wars take toll as Philippine growth slows to 4-year low","Asia-articles-txt/articles18txt","08 Aug 2019 09:47PM","business and finance,trade war,Philippines,Business"
"Bubble tea brawl: Taiwan brands face mainland boycott over Hong Kong gesture","Asia-articles-txt/articles19txt","08 Aug 2019 09:18PM","Taiwan,Hong Kong,Asia"
"Myanmar floods force tens of thousands from homes","Asia-articles-txt/articles20txt","08 Aug 2019 09:05PM","Myanmar,flood,news and politics,weather,Asia"
"Khat calligraphy for vernacular schools optional, says Malaysian Education Minister","Asia-articles-txt/articles21txt","08 Aug 2019 06:43PM","Malaysia,education,khat,Maszlee Malik,Lim Guan Eng,Asia"
"Malaysia uses recording of mother's voice in hunt for missing Irish teen","Asia-articles-txt/articles22txt","08 Aug 2019 06:43PM","Nora Quoirin,Malaysia,missing person,Asia"
"Donkey diva: Singing beast of burden becomes Indian sensation","Asia-articles-txt/articles23txt","08 Aug 2019 06:31PM","India,Asia"
"Ex-Garuda Indonesia boss arrested in major graft probe","Asia-articles-txt/articles24txt","08 Aug 2019 05:33PM","Garuda Indonesia,Indonesia,Asia"
"Bangkok bombings may be linked to politics: Police","Asia-articles-txt/articles25txt","08 Aug 2019 05:30PM","Bangkok,Thailand,Asia"
"Indian men who see new policy as chance to marry Kashmiri women accused of chauvinism","Asia-articles-txt/articles26txt","08 Aug 2019 05:24PM","Kashmir,India,Asia"
"China finds African swine fever virus in pigs transported to Guangxi","Asia-articles-txt/articles27txt","08 Aug 2019 05:05PM","pets,swine,China,Guangxi,Asia"
"Boogie time: Thai minister loosens up for cannabis presentation","Asia-articles-txt/articles28txt","08 Aug 2019 05:02PM","drugs,Thailand,Asia"
"Thai PM vows to take sole responsibility for oath of office gaffe","Asia-articles-txt/articles29txt","08 Aug 2019 04:43PM","news and politics,Prayut Chan-ocha,Thailand,Asia"
"China surprises with best export growth since March, but imports remain weak","Asia-articles-txt/articles30txt","08 Aug 2019 04:34PM","China,economy,trade war,United States,Asia"
"Afghan presidential candidates fear for safety after attacks","Asia-articles-txt/articles31txt","30 Jul 2019 03:48AM","Taliban,Afghanistan,Ashraf Ghani,Asia"
"Trump wants forces reduced in Afghanistan by next US election: Pompeo","Asia-articles-txt/articles32txt","30 Jul 2019 03:24AM","Afghanistan,Donald Trump,presidential election,Mike Pompeo,Asia"
"Pompeo hopes for North Korea talks soon, no leaders' summit planned","Asia-articles-txt/articles33txt","30 Jul 2019 02:28AM","denuclearisation,North Korea,Mike Pompeo,Kim Jong Un,Asia"
"India's wild tiger population jumps to almost 3,000: Census","Asia-articles-txt/articles34txt","30 Jul 2019 02:21AM","India,wild tiger,Narendra Modi,new census,population,Asia"
"Battle to rescue wildlife at India's flood-hit animal park","Asia-articles-txt/articles35txt","30 Jul 2019 02:16AM","Panjit Basumatary,India,Kaziranga National Park,wildlife,monsoon rains,Asia"
"China landslide death toll jumps to 42, nine missing","Asia-articles-txt/articles36txt","29 Jul 2019 10:51PM","China,news and politics,Guizhou,Asia"
"New stretch of Bangkok's Blue Line MRT opens, linking Chinatown and Grand Palace","Asia-articles-txt/articles37txt","29 Jul 2019 10:20PM","Thailand,Bangkok,MRT,transport,Asia"
"Bangladesh struggles to contain record dengue outbreak","Asia-articles-txt/articles38txt","29 Jul 2019 09:51PM","Bangladesh,dengue,Asia"
"China's first 'cyber-dissident' given 12-year jail term","Asia-articles-txt/articles39txt","29 Jul 2019 08:51PM","China,Asia"
"Malaysia police bust Penang car theft syndicate that targeted keyless vehicles","Asia-articles-txt/articles40txt","29 Jul 2019 08:48PM","Malaysia,Penang,crime,cars,Asia"
"Chinese billionaire indicted in US$1.8b tariff evasion scheme","Asia-articles-txt/articles41txt","01 Aug 2019 03:10AM","China,aluminium,Liu Zhongtian,Zhongwang Holdings,tariffs,pallets,Business"
"Can diet help cancer treatment? Study in mice offers clues","Asia-articles-txt/articles42txt","01 Aug 2019 02:39AM","diet,diabetes,hypertension,cancer,amino acid,Jason Locasale,World"
