"US tells Britain to drop tax proposal on US tech firms for trade deal - The Telegraph","Business-articles-txt/articles1txt","03 Aug 2019 05:50AM","business and finance,U.S.,Donald Trump,Britain,U.S. President,The Telegraph,Business"
"Exxon's US refineries suffer greater outages in second quarter over year ago, data shows","Business-articles-txt/articles2txt","03 Aug 2019 05:41AM","Exxon,business and finance,U.S.,CDU,Baytown,intelligence service,Business"
"Wells Fargo boosts estimate for possible legal reserve shortfall to US$3.9 billion","Business-articles-txt/articles3txt","03 Aug 2019 04:50AM","business and finance,regulatory,Wells Fargo & Co,Business"
"US shale shippers will pay surcharge for Trump steel tariffs","Business-articles-txt/articles4txt","03 Aug 2019 04:30AM","business and finance,Plains All American Pipeline LP,U.S.,Plains,Trump,Business"
"CBS, Viacom reach working agreement on combined company's leadership team: WSJ","Business-articles-txt/articles5txt","03 Aug 2019 04:00AM","business and finance,CBS,Viacom,Wall Street Journal report,Wall Street Journal,WSJ,Business"
"Group of 12 US states challenge Trump fuel economy penalty freeze","Business-articles-txt/articles6txt","03 Aug 2019 03:20AM","Barack Obama,New York,Trump administration,NHTSA,news and politics,California,Business"
"US to give tentative approval for expanded Delta, Air France, Virgin JV - source","Business-articles-txt/articles7txt","03 Aug 2019 02:45AM","business and finance,Virgin JV,joint venture,Delta,Virgin Atlantic,Air France,Business"
"No-deal Brexit an 'instantaneous' shock to economy: Carney","Business-articles-txt/articles8txt","03 Aug 2019 02:05AM","Britain,Mark Carney,Business"
"US economy is adding plenty of jobs, but not hours for workers","Business-articles-txt/articles9txt","03 Aug 2019 12:26AM","business and finance,U.S.,trade war,China,Business"
"JPMorgan set for historic majority stake in China funds JV","Business-articles-txt/articles10txt","03 Aug 2019 12:00AM","China,JPMorgan,Business"
"Emirates' Etihad partners with Swiss blockchain platform Winding Tree","Business-articles-txt/articles11txt","09 Aug 2019 01:31AM","Etihad,national carrier,Sabre,Winding Tree,open-source,United Arab Emirates,Business"
"European stocks rise as investors hunt for bargains","Business-articles-txt/articles12txt","09 Aug 2019 12:51AM","European stocks,trade spat,US stocks,oil prices,yuan,dollar,Business"
"Sarepta says adverse event report for DMD gene therapy erroneously submitted","Business-articles-txt/articles13txt","09 Aug 2019 12:47AM","FDA,U.S.,medical health,gene therapy,DMD,Sarepta,World"
"US small-cap stocks under renewed threat from tariffs","Business-articles-txt/articles14txt","09 Aug 2019 12:47AM","small-cap,business and finance,U.S.,Fed,Donald Trump,China,Business"
"Amazon's Alexa comes under scrutiny of Luxembourg privacy watchdog","Business-articles-txt/articles15txt","09 Aug 2019 12:41AM","business and finance,unease,Alexa,Luxembourg,Amazon,personal data,Business"
"Exclusive: Iraq close to pipeline deal with BP and Eni, rather than Exxon - sources","Business-articles-txt/articles16txt","09 Aug 2019 12:30AM","Exxon,Eni,business and finance,seawater,Exclusive,Iraq,Business"
