"Spot a python? Just leave it alone, advise wildlife groups","Singapore-articles-txt/articles1txt","10 Jul 2019 06:00AM","pythons,snakes,ACRES,WRS,Singapore"
"Stamford Catering's food hygiene grade cut to 'C' after 52 people fall ill","Singapore-articles-txt/articles2txt","09 Jul 2019 09:00PM","gastroenteritis,food poisoning,food safety,Singapore Food Agency,Singapore"
"SBS bus mounts road divider in Simei; 1 taken to hospital","Singapore-articles-txt/articles3txt","09 Jul 2019 08:37PM","accident,bus,Singapore"
"Dyson looking to hire 'substantially' more electronic engineers, digital marketers in Singapore","Singapore-articles-txt/articles4txt","09 Jul 2019 05:57PM","Dyson,jobs,technology,Singapore"
"New jobs can be created through technology, but workers need help retraining for these positions: Chan Chun Sing","Singapore-articles-txt/articles5txt","09 Jul 2019 05:21PM","Job market,labour market,Chan Chun Sing,Singapore"
"'Sexual predator' who preyed on five boys in two years gets jail, caning","Singapore-articles-txt/articles6txt","09 Jul 2019 04:22PM","court,crime,Singapore"
"Man fined for bringing more than S$100,000 into Singapore without declaring it","Singapore-articles-txt/articles7txt","09 Jul 2019 03:50PM","court,crime,Singapore"
"Man found dead at foot of HDB block in Little India, mother's body found in flat","Singapore-articles-txt/articles8txt","09 Jul 2019 03:41PM","Little India,police,Singapore"
"Temasek’s net portfolio value hits record high for third year running","Singapore-articles-txt/articles9txt","09 Jul 2019 03:00PM","Temasek Holdings,Business"
"Mathematics tuition teacher gets jail, caning for molesting 15-year-old student","Singapore-articles-txt/articles10txt","09 Jul 2019 12:26PM","court,crime,Singapore"
"Man arrested in connection with missing ICC football tickets","Singapore-articles-txt/articles11txt","27 Jul 2019 12:58PM","Joseph Schooling,ICC,Singapore"
"More Singaporeans to benefit from higher healthcare subsidies under revised income criteria","Singapore-articles-txt/articles12txt","27 Jul 2019 10:00AM","Healthcare,Medishield Life,CHAS,Singapore"
"Woman who failed to get S$54 Huawei phone arrested after causing commotion","Singapore-articles-txt/articles13txt","27 Jul 2019 07:31AM","Huawei,police,crime,Singapore"
"From special haircuts to speaking Hebrew, how Jews live in Singapore","Singapore-articles-txt/articles14txt","27 Jul 2019 06:30AM","culture,CNA Insider,CNA Insider"
"Commentary: Singapore’s climate change fight must be clear about these facts","Singapore-articles-txt/articles15txt","27 Jul 2019 06:24AM","climate change,environment,COP21,pollution,global warming,Commentary"
"Rich nations like Singapore should not use 'developing country' status to gain WTO special treatment: Trump","Singapore-articles-txt/articles16txt","27 Jul 2019 05:08AM","WTO,Donald Trump,China,news and politics,Singapore,Business"
"Recall of Tesco bottled fruit drinks which may have spoiled","Singapore-articles-txt/articles17txt","26 Jul 2019 07:41PM","food safety,FairPrice,Singapore Food Authority,Singapore"
"54 fires involving PMDs and power-assisted bicycles reported in first half of 2019","Singapore-articles-txt/articles18txt","26 Jul 2019 07:26PM","PMD,fire,Singapore Civil Defence Force,Singapore"
"Jail, fine for ex-cop who had sex with prostitute tenants without disclosing HIV-positive status","Singapore-articles-txt/articles19txt","26 Jul 2019 07:12PM","court,crime,Singapore"
"Singapore to install ASEAN Highway Network signs at 3 major roads: LTA","Singapore-articles-txt/articles20txt","26 Jul 2019 06:30PM","Singapore,ASEAN,transportation,Land Transport Authority,Singapore"
"Jobless rate for Singaporeans inches up to 3.3% in Q2: MOM","Singapore-articles-txt/articles21txt","26 Jul 2019 12:05PM","Unemployment,Labour market,Singapore"
"Anger, frustration as long queues form across Singapore for S$54 Huawei phone","Singapore-articles-txt/articles22txt","26 Jul 2019 10:49AM","Huawei,smartphones,Singapore"
"Swimming: Schooling fails to make 100m butterfly semis at FINA World Championships","Singapore-articles-txt/articles23txt","26 Jul 2019 09:42AM","Joseph Schooling,swimming,FINA world championships,Sport"
"Singapore private home prices climb 1.5% in Q2 to highest in at least 5 years","Singapore-articles-txt/articles24txt","26 Jul 2019 09:39AM","property,URA,real estate,Singapore"
"HDB resale transactions up nearly 30% in Q2 as prices dip slightly","Singapore-articles-txt/articles25txt","26 Jul 2019 09:13AM","HDB,property,BTO,Singapore"
"Singaporeans advised to avoid Hong Kong airport, border town ahead of protests","Singapore-articles-txt/articles26txt","26 Jul 2019 06:39AM","Hong Kong protests,Hong Kong,MFA,Yuen Long,Singapore"
"Wild Rice's new Funan home was inspired by the National Theatre, wayang and Shakespeare","Singapore-articles-txt/articles27txt","26 Jul 2019 06:30AM","Wild Rice,Singapore,theatre,Lifestyle"
"4 men arrested for unlawfully entering Singapore, possessing duty-unpaid cigarettes","Singapore-articles-txt/articles28txt","25 Jul 2019 10:19PM","police,Police Coast Guard,crime,Singapore"
"7 in 10 Singapore workers will take pay cut for one extra day of holiday: Survey","Singapore-articles-txt/articles29txt","25 Jul 2019 09:18PM","holiday,expedia,survey,Singapore"
"PM Lee congratulates Boris Johnson on his appointment as UK prime minister","Singapore-articles-txt/articles30txt","25 Jul 2019 06:19PM","United Kingdom,Britain,Boris Johnson,European Union,Singapore"
"Woodlands double deaths: Man strangled pregnant wife with towel before killing 4-year-old daughter","Singapore-articles-txt/articles31txt","02 Jul 2019 12:04PM","court,crime,murder,Woodlands murders,Singapore"
"2 construction firms fined for water mains damage, causing loss of 1.6m litres of drinking water","Singapore-articles-txt/articles32txt","02 Jul 2019 11:50AM","PUB,water,construction,Singapore"
"GIC, Brookfield to buy US freight railroad company for US$6.4 billion in cash","Singapore-articles-txt/articles33txt","02 Jul 2019 10:04AM","GIC,Canada,business and finance,Business"
"Get your cameras ready: Pokemon Parade hits Jewel Changi Airport this month","Singapore-articles-txt/articles34txt","02 Jul 2019 06:44AM","Trending,Jewel Changi Airport,Pokemon,Lifestyle"
"Celebrity chef Heston Blumenthal to cook in Singapore for the first time","Singapore-articles-txt/articles35txt","02 Jul 2019 06:30AM","Trending,Dining,Lifestyle"
"The Big Read: The Internet never forgets — ex-offenders struggle for redemption in the digital age","Singapore-articles-txt/articles36txt","02 Jul 2019 06:00AM","reintegration,crime,law,courts,Singapore"
"SAF personnel reaffirm commitment to defence on SAF Day","Singapore-articles-txt/articles37txt","01 Jul 2019 09:23PM","Singapore Armed Forces,Halimah Yacob,Ng Eng Hen,SAF Day,Singapore"
"More than 85,000 e-scooters registered as deadline closes: LTA","Singapore-articles-txt/articles38txt","01 Jul 2019 08:57PM","e-scooter,personal mobility devices,Land Transport Authority,Singapore"
"Wet weather to ease by second week of July: Met Service","Singapore-articles-txt/articles39txt","01 Jul 2019 07:54PM","weather,Singapore"
"New Grab feature to give passengers estimated drop-off time before booking a ride","Singapore-articles-txt/articles40txt","01 Jul 2019 06:33PM","Grab,transport,GrabShare,Singapore"
"Murders and fights, but some tenants say Orchard Towers is safe","Singapore-articles-txt/articles41txt","06 Jul 2019 02:25PM","Orchard Towers,murder,crime,Singapore"
"From Lim Chu Kang to Dempsey, the enormous struggle of moving a 150kg arapaima","Singapore-articles-txt/articles42txt","06 Jul 2019 07:36AM","arapaima,fish,Singapore"
"Commentary: Take your cardio from the shops to the great outdoors","Singapore-articles-txt/articles43txt","06 Jul 2019 06:29AM","health,lifestyle,NParks,exercise,Commentary"
"The Singaporean boxer who wouldn’t quit, in the ring and in business","Singapore-articles-txt/articles44txt","06 Jul 2019 06:15AM","boxing,CNA Insider,CNA Insider"
"Spize fined S$20,000 after more than 100 customers’ personal data leaked","Singapore-articles-txt/articles45txt","05 Jul 2019 11:39PM","Spize,Personal Data Protection Commission,Personal Data Protection Act,Singapore"
"Pharmaceutical firm GSK launches new facilities to speed up medicine production","Singapore-articles-txt/articles46txt","05 Jul 2019 10:45PM","pharmaceutical,manufacturing,Singapore"
"Shorter opening hours for some restaurants at Jewel Changi Airport","Singapore-articles-txt/articles47txt","05 Jul 2019 08:11PM","Jewel Changi Airport,dining,Singapore"
"Pasir Gudang air pollution, unauthorised drone sightings near Changi Airport to be discussed in Parliament","Singapore-articles-txt/articles48txt","05 Jul 2019 07:28PM","Parliament,Pasir Gudang,Johor,Malaysia,drones,Singapore"
"Construction company director charged over fraudulent schemes investing in villas, crab farms","Singapore-articles-txt/articles49txt","05 Jul 2019 06:37PM","crime,fraud,scams,Singapore"
"5 jailed for falsifying safety permit after Tampines work site accident left worker dead","Singapore-articles-txt/articles50txt","05 Jul 2019 06:12PM","accident,MOM,Singapore"
"Exercise Tiger Balm: Singapore and US soldiers storm urban complex, clear explosives","Singapore-articles-txt/articles51txt","17 Jul 2019 06:15PM","Singapore Armed Forces,US Army,defence,Singapore"
"Community sheds with litter-picking tools for beach clean-ups set up in Singapore parks","Singapore-articles-txt/articles52txt","17 Jul 2019 05:52PM","Public Hygiene Council,National Parks Board,Singapore"
"Commuters to undergo screening at HarbourFront MRT during security exercise","Singapore-articles-txt/articles53txt","17 Jul 2019 05:33PM","MRT,HarbourFront MRT,VivoCity,SMRT,SBS Transit,LTA,Singapore"
"Father of six gets jail, caning for statutory rape of 11-year-old neighbour","Singapore-articles-txt/articles54txt","17 Jul 2019 04:24PM","court,crime,rape,sexual assault,Singapore"
"COE prices close mixed in latest bidding exercise","Singapore-articles-txt/articles55txt","17 Jul 2019 04:03PM","COE,transport,automotive,Singapore"
"WeWork to take over 21-storey HSBC building in Collyer Quay","Singapore-articles-txt/articles57txt","17 Jul 2019 01:44PM","CapitaLand Commercial Trust,WeWork,office,business,HSBC,CBD,Business"
"Man pleads guilty to hiring hitman on Dark Web to kill former mistress' new boyfriend","Singapore-articles-txt/articles58txt","17 Jul 2019 01:07PM","court,crime,murder,Singapore"
"Singapore to spend S$400 million upgrading, maintaining drains over two years","Singapore-articles-txt/articles59txt","17 Jul 2019 01:00PM","Masagos Zulkifli,Ministry of Environment and Water Resources,environment,climate change,Singapore"
"‘Time is running out’: Tackling climate change a priority for Singapore, says Masagos","Singapore-articles-txt/articles60txt","17 Jul 2019 01:00PM","Masagos Zulkifli,climate change,Ministry of Environment and Water Resources,Singapore"
"Prolonged uncertainty in Hong Kong won’t be good for Singapore: MAS chief","Singapore-articles-txt/articles61txt","27 Jun 2019 03:46PM","Monetary Authority of Singapore,Hong Kong,Hong Kong protests,economy,Singapore"
"Property market 'more sober' after cooling measures; no need to shift gears significantly: MAS","Singapore-articles-txt/articles62txt","27 Jun 2019 02:49PM","property,economy,Monetary Authority of Singapore,Business"
"Ex-Deliveroo rider admits colliding into 3-year-old while on e-scooter at Nex mall","Singapore-articles-txt/articles63txt","27 Jun 2019 02:46PM","court,crime,e-scooter,PMD,Deliveroo,Singapore"
"Singapore Food Festival returns with LiHO avocado kopi and Ya Kun Pocky ","Singapore-articles-txt/articles64txt","27 Jun 2019 01:33PM","Singapore,trending,food,Lifestyle"
"Prime Minister Lee Hsien Loong to take part in G20 Leaders’ Summit in Osaka","Singapore-articles-txt/articles65txt","27 Jun 2019 01:00PM","Lee Hsien Loong,G20 Summit,Japan,Singapore"
"Singapore reviewing 2019 GDP forecast range amid weaker growth expectations","Singapore-articles-txt/articles66txt","27 Jun 2019 12:17PM","Monetary Authority of Singapore,finance,GDP,Business"
"MAS net profit more than triples to S$19.2 billion on investment gains, currency effects","Singapore-articles-txt/articles67txt","27 Jun 2019 12:00PM","Monetary Authority of Singapore,finance,Business"
"Singapore to spend S$40 million to build 5G ecosystem","Singapore-articles-txt/articles68txt","27 Jun 2019 10:16AM","5G,technology,Singapore"
"From living in rental flat to running Singapore’s largest estate agency","Singapore-articles-txt/articles69txt","27 Jun 2019 06:45AM","property,CNA Insider,CNA Insider"
"World needs to reshape militaries to deal with more non-conventional threats: Ng Eng Hen","Singapore-articles-txt/articles70txt","26 Jun 2019 09:51PM","Ng Eng Hen,Technology,Defence,MINDEF,Singapore"
"Meet the Singaporean woman making men's shoes using a guy's name","Singapore-articles-txt/articles71txt","08 Aug 2019 06:30AM","Trending,Style,Lifestyle"
"Man arrested, suspected of burning Singapore flags in Woodlands","Singapore-articles-txt/articles72txt","08 Aug 2019 12:21AM","Singapore Police Force,fire,Woodlands,Singapore"
"Motorcycle catches fire at Woodlands Checkpoint","Singapore-articles-txt/articles73txt","08 Aug 2019 12:09AM","fire,Woodlands Checkpoint,Singapore"
"Singapore ranks 32 out of 40 for work-life balance, second most overworked city","Singapore-articles-txt/articles74txt","07 Aug 2019 09:17PM","work-life balance,labour,workers,Singapore"
"Singapore Convention on Mediation 'crucial' as rules-based international order faces pressure: DPM Heng","Singapore-articles-txt/articles75txt","07 Aug 2019 08:11PM","Heng Swee Keat,Singapore"
"Prudential raises CPF contribution rate for employees above 55 years old","Singapore-articles-txt/articles76txt","07 Aug 2019 07:19PM","business and finance,financial institution,retirement age,CPF,Prudential,Business"
"'I feel terrible': Dennis Chew apologises over controversial E-Pay ad","Singapore-articles-txt/articles77txt","07 Aug 2019 07:17PM","NETS,Dennis Chew,Singapore"
"Countries will be 'fairly quick' to ratify Singapore Convention on Mediation, says Shanmugam","Singapore-articles-txt/articles78txt","07 Aug 2019 06:23PM","Singapore Convention,United Nations,trade disputes,K Shanmugam,Singapore"
"Veteran lawyer suspended for mishandling S$138,000 of client's money","Singapore-articles-txt/articles79txt","07 Aug 2019 06:21PM","court,lawyers,Singapore"
"Australian dollar plunges to near 11-year low against Singdollar after New Zealand's rate cut","Singapore-articles-txt/articles80txt","07 Aug 2019 05:20PM","currency,forex,foreign exchange,Australia,New Zealand,central bank,Business"
"NDP 2019: Fireworks to be set off at Singapore River for the first time","Singapore-articles-txt/articles81txt","25 Jul 2019 06:03PM","NDP2019,National Day Parade,Singapore"
"Next year's Primary 5 students to get exam results based on new PSLE scoring system","Singapore-articles-txt/articles82txt","25 Jul 2019 05:00PM","PSLE,education,schools,Singapore"
"2 Singaporeans detained under ISA for intending to join Islamic State in Syria","Singapore-articles-txt/articles83txt","25 Jul 2019 04:11PM","Islamic State,MHA,terrorism,Internal Security Act,Singapore"
"ESM Goh back in office after angioplasty","Singapore-articles-txt/articles84txt","25 Jul 2019 03:52PM","Goh Chok Tong,Singapore"
"Preventive detention for repeat offender who sold bogus luxury hotel stays on Carousell","Singapore-articles-txt/articles85txt","25 Jul 2019 02:56PM","court,crime,Carousell,Singapore"
"Student gets probation for hitting NParks officer when caught fishing illegally at Sungei Buloh","Singapore-articles-txt/articles86txt","25 Jul 2019 01:43PM","court,crime,Singapore"
"Senior consultant at Ng Teng Fong General Hospital charged over road rage incident","Singapore-articles-txt/articles87txt","25 Jul 2019 01:11PM","court,crime,Singapore"
"Circle Line begins upgrading works ahead of opening of 3 new stations in 2025","Singapore-articles-txt/articles88txt","25 Jul 2019 12:52PM","Circle Line,SMRT,LTA,MRT,Singapore"
"Police investigating Joseph Schooling’s ex-representative for non-delivery of ICC football tickets","Singapore-articles-txt/articles89txt","25 Jul 2019 12:39PM","Joseph Schooling,ICC,Singapore"
"Cycle & Carriage enters car rental business in Singapore, forms partnership with Go-Jek","Singapore-articles-txt/articles90txt","25 Jul 2019 12:37PM","Cycle & Carriage,transport,ride-sharing,Go-Jek,cars,Business"
"13 men arrested for rioting along Geylang Road","Singapore-articles-txt/articles91txt","17 Jun 2019 08:58PM","rioting,Geylang,police,Singapore"
"New guide launched to help firms integrate workers with special needs","Singapore-articles-txt/articles92txt","17 Jun 2019 07:06PM","employment,Ministry of Manpower,special needs,labour,jobs,Business"
"PM Lee congratulates Prayut on election as Thai prime minister","Singapore-articles-txt/articles93txt","17 Jun 2019 06:22PM","Singapore"
"No quick turnaround in Singapore's exports, more downside risks in 2019 growth: Economists","Singapore-articles-txt/articles94txt","17 Jun 2019 06:11PM","Singapore economy,NODX,trade,Business"
