"Ebola outbreak in east Congo's main city tests flexibility of response","World-articles-txt/articles1txt","06 Aug 2019 06:35PM","MSF,medical health,main,diarrhea,Goma,Ebola,World"
"China says US currency manipulator labelling could cause chaos in financial markets","World-articles-txt/articles2txt","06 Aug 2019 06:13PM","China,United States,trade war,Business"
"Any Turkish incursion into Syria 'unacceptable', US will prevent it, says Pentagon chief","World-articles-txt/articles3txt","06 Aug 2019 05:57PM","Turkey,United States,news and politics,Syria,World"
"Russia arms depot fire leaves one missing, thousands evacuated ","World-articles-txt/articles4txt","06 Aug 2019 05:43PM","news and politics,Russia,World"
"Aussie ex-spy offers surprise guilty plea for leaking East Timor plot","World-articles-txt/articles5txt","06 Aug 2019 05:42PM","East Timor,news and politics,Australia,World"
"1,800 dead as malaria 'epidemic' rages in Burundi: UN","World-articles-txt/articles6txt","06 Aug 2019 05:34PM","United Nations,news and politics,malaria,health,World"
"Football: Swiss indict former German officials over World Cup payment","World-articles-txt/articles7txt","06 Aug 2019 04:05PM","soccer,DFB,OAG,news and politics,Germany,Sport"
"Iran 'favours' talks despite Trump snub","World-articles-txt/articles8txt","06 Aug 2019 04:01PM","Iran,Hassan Rouhani,news and politics,nuclear,World"
"Child thrown from London's Tate Modern gallery has broken spine, legs and arm","World-articles-txt/articles9txt","06 Aug 2019 02:56PM","Tate Modern,London,crime,World"
"The man in the plastic mask: Disguised Brazil inmate busted in brazen jailbreak","World-articles-txt/articles10txt","06 Aug 2019 02:36PM","derring-do,Brazil,Rio,news and politics,World"
"Who's Who in the Jeffrey Epstein sex scandal","World-articles-txt/articles11txt","13 Aug 2019 02:39AM","Jeffrey Epstein,prison,suicide,sex trafficking,politicians,celebrities,World"
"US says 'serious irregularities' at Epstein jail, vows to hunt any co-conspirators","World-articles-txt/articles12txt","13 Aug 2019 02:30AM","Bill Barr,Jeffrey Epstein,suicide,sex trafficking,Metropolitan Correctional Centre,underage girls,World"
"US budget deficit widens; spending up on health, military","World-articles-txt/articles13txt","13 Aug 2019 02:10AM","business and finance,U.S.,U.S. government,Treasury,World"
"US transportation chief asks new FAA head to review agency in wake of 737 MAX crashes","World-articles-txt/articles14txt","13 Aug 2019 01:50AM","US,Federal Aviation Administration,aviation,Business"
"US to deny citizenship to immigrants who use public benefits","World-articles-txt/articles15txt","13 Aug 2019 12:21AM","immigration,United States,Donald Trump,World"
"Spanish firefighters make progress against Gran Canaria blaze","World-articles-txt/articles16txt","13 Aug 2019 12:15AM","Gran Canaria,Canary Islands,news and politics,Spanish,Spain,World"
